"","Symbol","Name","BestBuyYesCost","Image"
"1","DNOM20","Kamala Harris",0.19,"https://az620379.vo.msecnd.net/images/Markets/7edffa43-a8a1-4d3f-93f2-fe65094f9db4.png"
"2","DNOM20","Joe Biden",0.18,"https://az620379.vo.msecnd.net/images/Markets/7edffa43-a8a1-4d3f-93f2-fe65094f9db4.png"
"3","DNOM20","Bernie Sanders",0.18,"https://az620379.vo.msecnd.net/images/Markets/7edffa43-a8a1-4d3f-93f2-fe65094f9db4.png"
"4","DNOM20","Cory Booker",0.1,"https://az620379.vo.msecnd.net/images/Markets/7edffa43-a8a1-4d3f-93f2-fe65094f9db4.png"
"5","DNOM20","Kirsten Gillibrand",0.11,"https://az620379.vo.msecnd.net/images/Markets/7edffa43-a8a1-4d3f-93f2-fe65094f9db4.png"
"6","DNOM20","Elizabeth Warren",0.1,"https://az620379.vo.msecnd.net/images/Markets/7edffa43-a8a1-4d3f-93f2-fe65094f9db4.png"
"7","DNOM20","Amy Klobuchar",0.06,"https://az620379.vo.msecnd.net/images/Markets/7edffa43-a8a1-4d3f-93f2-fe65094f9db4.png"
"8","DNOM20","Andrew Cuomo",0.05,"https://az620379.vo.msecnd.net/images/Markets/7edffa43-a8a1-4d3f-93f2-fe65094f9db4.png"
"9","DNOM20","Oprah Winfrey",0.04,"https://az620379.vo.msecnd.net/images/Markets/7edffa43-a8a1-4d3f-93f2-fe65094f9db4.png"
"10","DNOM20","Tim Kaine",0.03,"https://az620379.vo.msecnd.net/images/Markets/7edffa43-a8a1-4d3f-93f2-fe65094f9db4.png"
"11","DNOM20","Chris Murphy",0.03,"https://az620379.vo.msecnd.net/images/Markets/7edffa43-a8a1-4d3f-93f2-fe65094f9db4.png"
"12","DNOM20","Mark Zuckerberg",0.02,"https://az620379.vo.msecnd.net/images/Markets/7edffa43-a8a1-4d3f-93f2-fe65094f9db4.png"
"13","DNOM20","Dwayne Johnson",0.02,"https://az620379.vo.msecnd.net/images/Markets/7edffa43-a8a1-4d3f-93f2-fe65094f9db4.png"
"14","DNOM20","Jerry Brown",0.02,"https://az620379.vo.msecnd.net/images/Markets/7edffa43-a8a1-4d3f-93f2-fe65094f9db4.png"
"15","DNOM20","John Delaney",0.02,"https://az620379.vo.msecnd.net/images/Markets/7edffa43-a8a1-4d3f-93f2-fe65094f9db4.png"
"16","RNOM20","Donald Trump",0.54,"https://az620379.vo.msecnd.net/images/Markets/3fba0ecb-5a6b-4b6f-9102-5f8869a614ec.png"
"17","RNOM20","Mike Pence",0.17,"https://az620379.vo.msecnd.net/images/Markets/3fba0ecb-5a6b-4b6f-9102-5f8869a614ec.png"
"18","RNOM20","Nikki Haley",0.08,"https://az620379.vo.msecnd.net/images/Markets/3fba0ecb-5a6b-4b6f-9102-5f8869a614ec.png"
"19","RNOM20","Mitt Romney",0.08,"https://az620379.vo.msecnd.net/images/Markets/3fba0ecb-5a6b-4b6f-9102-5f8869a614ec.png"
"20","RNOM20","John Kasich",0.07,"https://az620379.vo.msecnd.net/images/Markets/3fba0ecb-5a6b-4b6f-9102-5f8869a614ec.png"
"21","RNOM20","Paul Ryan",0.05,"https://az620379.vo.msecnd.net/images/Markets/3fba0ecb-5a6b-4b6f-9102-5f8869a614ec.png"
"22","RNOM20","Tom Cotton",0.04,"https://az620379.vo.msecnd.net/images/Markets/3fba0ecb-5a6b-4b6f-9102-5f8869a614ec.png"
"23","RNOM20","Ben Sasse",0.03,"https://az620379.vo.msecnd.net/images/Markets/3fba0ecb-5a6b-4b6f-9102-5f8869a614ec.png"
"24","RNOM20","Ted Cruz",0.04,"https://az620379.vo.msecnd.net/images/Markets/3fba0ecb-5a6b-4b6f-9102-5f8869a614ec.png"
"25","RNOM20","Rand Paul",0.03,"https://az620379.vo.msecnd.net/images/Markets/3fba0ecb-5a6b-4b6f-9102-5f8869a614ec.png"
"26","RNOM20","Marco Rubio",0.03,"https://az620379.vo.msecnd.net/images/Markets/3fba0ecb-5a6b-4b6f-9102-5f8869a614ec.png"
"27","RNOM20","Mark Cuban",0.02,"https://az620379.vo.msecnd.net/images/Markets/3fba0ecb-5a6b-4b6f-9102-5f8869a614ec.png"
