"","Date","Democrat_Value","Republican_Value","Spread"
"1",2018-05-06,45.3,39,6.3
"2",2018-05-05,45.5,39.5,6
"3",2018-05-04,45.6,39.6,6
"4",2018-05-03,45.6,38.9,6.7
"5",2018-05-02,45.1,38.6,6.5
"6",2018-05-01,45.3,38.5,6.8
"7",2018-04-30,45.3,38.5,6.8
"8",2018-04-29,45.3,38.5,6.8
"9",2018-04-28,45.3,38.5,6.8
"10",2018-04-27,45.3,38.5,6.8
"11",2018-04-26,45.3,38.5,6.8
"12",2018-04-25,45.6,39.1,6.5
"13",2018-04-24,45.1,39.6,5.5
"14",2018-04-23,45.1,39.6,5.5
"15",2018-04-22,45.1,39.6,5.5
"16",2018-04-21,45.1,39.6,5.5
"17",2018-04-20,45.1,39.6,5.5
"18",2018-04-19,45.1,39.6,5.5
"19",2018-04-18,45.1,39.6,5.5
"20",2018-04-17,45.5,39.3,6.2
"21",2018-04-16,45.5,39.3,6.2
"22",2018-04-15,45.2,38.6,6.6
"23",2018-04-14,45.7,38.5,7.2
"24",2018-04-13,45.7,38.5,7.2
"25",2018-04-12,45.7,38.5,7.2
"26",2018-04-11,45.7,38.5,7.2
"27",2018-04-10,46.3,38.8,7.5
"28",2018-04-09,46.3,38.8,7.5
"29",2018-04-08,46.3,38.8,7.5
"30",2018-04-07,46.3,38.8,7.5
"31",2018-04-06,46.3,38.8,7.5
"32",2018-04-05,46.3,38.8,7.5
"33",2018-04-04,46.3,38.8,7.5
"34",2018-04-03,46,38.8,7.2
"35",2018-04-02,46,38.8,7.2
"36",2018-04-01,46.1,39.4,6.7
"37",2018-03-31,46.1,39.4,6.7
"38",2018-03-30,46.6,39.5,7.1
"39",2018-03-29,46.6,39.5,7.1
"40",2018-03-28,45.9,39.1,6.8
"41",2018-03-27,45.5,39.7,5.8
"42",2018-03-26,45.5,39.7,5.8
"43",2018-03-25,45.5,39.7,5.8
"44",2018-03-24,46,39.5,6.5
"45",2018-03-23,46.5,39.8,6.7
"46",2018-03-22,46.9,39.9,7
